COMMON_NAME,audio,image,link
Double-striped thick-knee,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/_s6a2033_w.jpg?itok=igNSgbE-,https://www.hbw.com/species/double-striped-thick-knee-burhinus-bistriatus#Taxonomy
Double-toothed kite,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/double-toothed-kite6.jpg?itok=enREiWXJ,https://www.hbw.com/species/double-toothed-kite-harpagus-bidentatus#Taxonomy
Dusky thrush,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/dusky_thrush_bocos2.jpg?itok=IknWiidw,https://www.hbw.com/species/dusky-thrush-turdus-eunomus#Taxonomy
Dusky warbler,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/e72e4677.jpg?itok=p1_tli7K,https://www.hbw.com/species/dusky-warbler-phylloscopus-fuscatus#Taxonomy
Dusky-capped flycatcher,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/5402_dusky-capped_flycatcher_myiarchus_tuberculifer_tandayapa_bird_lodge_pichincha_ecuador_20140107_1_1600.jpg?itok=N52JyNF_,https://www.hbw.com/species/dusky-capped-flycatcher-myiarchus-tuberculifer#Taxonomy
Eared quetzal,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/IMG_0475.JPG?itok=6nfSYB6b,https://www.hbw.com/species/eared-quetzal-euptilotis-neoxenus#Taxonomy
Eastern yellow wagtail,no image,no link
Elf owl,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/elf_owl_04.jpg?itok=FcpLaGep,https://www.hbw.com/species/elf-owl-micrathene-whitneyi#Taxonomy
Erckels francolin,no image,no link
Eskimo curlew,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/charscola6811.jpg?itok=qEvY9mlA,https://www.hbw.com/species/eskimo-curlew-numenius-borealis#Taxonomy
Eurasian bullfinch,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/img_2949.jpg?itok=i6_CbVEJ,https://www.hbw.com/species/eurasian-bullfinch-pyrrhula-pyrrhula#Taxonomy
Eurasian coot,no image,no link
Eurasian curlew,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/1560_20160121_1_1000.jpg?itok=KobFuQ0Y,https://www.hbw.com/species/eurasian-curlew-numenius-arquata#Taxonomy
Eurasian dotterel,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/1491_fjallpipare_charadrius_morinellus_lingome_halland_20100515_4_1200.jpg?itok=8JwUADJ-,https://www.hbw.com/species/eurasian-dotterel-eudromias-morinellus#Taxonomy
Eurasian hobby,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/_MG_0737-bewerkt-3.jpg?itok=5-VF2mYi,https://www.hbw.com/species/eurasian-hobby-falco-subbuteo#Taxonomy
Eurasian oystercatcher,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/b21a2506.jpg?itok=7RZjzQg9,https://www.hbw.com/species/eurasian-oystercatcher-haematopus-ostralegus#Taxonomy
Eurasian skylark,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/69_alau_arv.jpg?itok=7b9qp1OV,https://www.hbw.com/species/eurasian-skylark-alauda-arvensis#Taxonomy
Eurasian woodcock,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/20160616-sni_8706.jpg?itok=PRwVXMLX,https://www.hbw.com/species/eurasian-woodcock-scolopax-rusticola#Taxonomy
Eurasian wryneck,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/img_3672.jpg?itok=gk09uYZf,https://www.hbw.com/species/eurasian-wryneck-jynx-torquilla#Taxonomy
Eyebrowed thrush,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/bf6e0514_eye-browed_thrush.jpg?itok=QJR8CwCZ,https://www.hbw.com/species/eyebrowed-thrush-turdus-obscurus#Taxonomy
Far Eastern curlew,no image,no link
Feas petrel,no image,no link
Fieldfare,no image,no link
Five-striped sparrow,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/five-striped_sparrow_22.jpg?itok=7J1qM__p,https://www.hbw.com/species/five-striped-sparrow-amphispiza-quinquestriata#Taxonomy
Flame-colored tanager,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Comidas_Mirian_S_Gerardo_888M4MEJOR.jpg?itok=jwgMAcBf,https://www.hbw.com/species/flame-colored-tanager-piranga-bidentata#Taxonomy
Flesh-footed shearwater,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/DSC_8337.jpg?itok=rHTtE8Cq,https://www.hbw.com/species/flesh-footed-shearwater-ardenna-carneipes#Taxonomy
Golden-crowned warbler,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/_MG_1851.jpg?itok=f6GWOQgd,https://www.hbw.com/species/golden-crowned-warbler-basileuterus-auricapilla#Taxonomy
Great auk,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/dsc_0539_1.jpg?itok=Ai7sSu14,https://www.hbw.com/species/great-auk-pinguinus-impennis#Descriptive_notes
Great frigatebird,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/imgp0410.jpg?itok=Ci18gLUu,https://www.hbw.com/species/great-frigatebird-fregata-minor#Taxonomy
Great knot,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/1582_20160121_1_1000.jpg?itok=MjKn3sII,https://www.hbw.com/species/great-knot-calidris-tenuirostris#Taxonomy
Great shearwater,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/e7d_7275.jpg?itok=_C7xT1Df,https://www.hbw.com/species/great-shearwater-ardenna-gravis#Taxonomy
Great skua,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/e7d_6997.jpg?itok=QSqEnoSL,https://www.hbw.com/species/great-skua-catharacta-skua#Taxonomy
Great spotted woodpecker,no image,no link
Greater amakihi,no image,https://www.hbw.com/species/greater-amakihi-viridonia-sagittirostris#Descriptive_notes
Greater necklaced laughingthrush,no image,no link
Great-winged petrel,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/img_5673_1.jpg?itok=m5dzBHva,https://www.hbw.com/species/great-winged-petrel-pterodroma-macroptera#Taxonomy
Green kingfisher,no image,no link
Green parakeet,no image,no link
Green sandpiper,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/ar7q2354_kal.per_.jpg?itok=5ajlC_pY,https://www.hbw.com/species/green-sandpiper-tringa-ochropus#Taxonomy
Green-breasted mango,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/antpre43870.jpg?itok=PQts_Q1v,https://www.hbw.com/species/green-breasted-mango-anthracothorax-prevostii#Taxonomy
Guadalupe murrelet,no image,https://www.hbw.com/species/guadalupe-murrelet-synthliboramphus-hypoleucus#Taxonomy
Hawaii elepaio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/elapaio-2.jpg?itok=lb9xLWym,https://www.hbw.com/species/hawaii-elepaio-chasiempis-sandwichensis#Taxonomy
Hawaiian crow,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Corvus_hawaiiensis_Photo_JH04.jpg?itok=J6DQl8Bd,https://www.hbw.com/species/hawaiian-crow-corvus-hawaiiensis#Taxonomy
Hawaiian hawk,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Buteo_solitarius_6_IBC.Imagen_fija001.jpg?itok=sFBl5bvA,https://www.hbw.com/species/hawaiian-hawk-buteo-solitarius#Taxonomy
Hawaiian petrel,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/p1020591.jpg?itok=a_7kxeBl,https://www.hbw.com/species/hawaiian-petrel-pterodroma-sandwichensis#Taxonomy
Hawfinch,no image,no link
Herald petrel,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/306.JPG?itok=C0RARcx5,https://www.hbw.com/species/herald-petrel-pterodroma-heraldica#Taxonomy
Himalayan snowcock,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/32299.jpg?itok=JHQqbtSc,https://www.hbw.com/species/himalayan-snowcock-tetraogallus-himalayensis#Taxonomy
Hook-billed kite,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/hook-billed-kite2a.jpg?itok=qPNDNrni,https://www.hbw.com/species/hook-billed-kite-chondrohierax-uncinatus#Taxonomy
Indian silverbill,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/ar7q1227_a.jpg?itok=yIv5Ub4I,https://www.hbw.com/species/indian-silverbill-euodice-malabarica#Taxonomy
Intermediate egret,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Large_Egret_SRS_3582.jpg?itok=WuYtaOCq,https://www.hbw.com/species/intermediate-egret-ardea-intermedia#Taxonomy
Jabiru,no image,no link
Jack snipe,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Becassine_sourde_6BB_29102007_-_Ouessant.jpg?itok=_0jghN-O,https://www.hbw.com/species/jack-snipe-lymnocryptes-minimus#Taxonomy
Japanese bush warbler,no image,no link
Japanese quail,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Japanese_Quail_2.jpg?itok=PHLMEhBJ,https://www.hbw.com/species/japanese-quail-coturnix-japonica#Taxonomy
Japanese white-eye,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/07_Japanese_White-eye.jpg?itok=D0LfNooX,https://www.hbw.com/species/japanese-white-eye-zosterops-japonicus#Taxonomy
Java sparrow,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/9189_java_sparrow_lonchura_oryzivora_chake_chake_pemba_island_tanzania_20141227_2_1000.jpg?itok=RCpTu2F9,https://www.hbw.com/species/java-sparrow-lonchura-oryzivora#Taxonomy
Jouanins petrel,no image,no link
Kalij pheasant,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/860058571512c8dc9c173c.jpg?itok=qTUErRvx,https://www.hbw.com/species/kalij-pheasant-lophura-leucomelanos#Taxonomy
Kamchatka leaf warbler,no image,no link
