SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Muscicapa sp.,Muscicapa sp.,muscic1,spuh,23403.0055,,,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Bradornis boehmi,Böhm's Flycatcher,boefly1,species,23403.0056,BÖFL,BRBO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Bradornis ussheri,Ussher's Flycatcher,ussfly1,species,23403.00565,USFL,BRUS,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Bradornis fuliginosus,Sooty Flycatcher,soofly1,species,23403.0059,SOFL,BRFU,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Bradornis comitatus,Dusky-blue Flycatcher,dubfly2,species,23403.006,DBFL,BRCO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Bradornis mariquensis,Mariqua Flycatcher,marfly1,species,23403.0063,MAFL,BRMA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Bradornis microrhynchus,Grayish Flycatcher,afgfly1,species,23403.0064,GRFL AGFL,BRMI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Bradornis microrhynchus pumilus,Grayish Flycatcher (Ethiopian),grafly2,issf,23403.0071,GRFL AGFL,BRMI,,Passeriformes,Old World Flycatchers,Muscicapidae,afgfly1,,
Bradornis microrhynchus [microrhynchus Group],Grayish Flycatcher (Grayish),grafly1,issf,23403.0072,GRFL AGFL,BRMI,,Passeriformes,Old World Flycatchers,Muscicapidae,afgfly1,,
Bradornis sp.,Bradornis sp.,brador1,spuh,23403.0073,,,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa/Bradornis sp.,Muscicapa/Bradornis sp.,y01003,spuh,23403.0079,,,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Agricola pallidus,Pale Flycatcher,palfly2,species,23403.008,PAFL,AGPA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Agricola pallidus [pallidus Group],Pale Flycatcher (Pale),palfly6,issf,23403.0083,PAFL,AGPA,,Passeriformes,Old World Flycatchers,Muscicapidae,palfly2,,
Agricola pallidus bafirawari,Pale Flycatcher (Wajir),palfly4,issf,23403.00834,PAFL,AGPA,,Passeriformes,Old World Flycatchers,Muscicapidae,palfly2,,
Agricola pallidus subalaris/erlangeri,Pale Flycatcher (East Coast),palfly5,issf,23403.00835,PAFL,AGPA,,Passeriformes,Old World Flycatchers,Muscicapidae,palfly2,,
Agricola infuscatus,Chat Flycatcher,chafly2,species,23403.0084,CHFL,AGIN,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Fraseria cinerascens,White-browed Forest-Flycatcher,wbffly1,species,23403.0085,WBFF,FRCI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Fraseria ocreata,African Forest-Flycatcher,afffly1,species,23403.0087,AFFL FFFL AFFF,FROC,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Fraseria ocreata prosphora/kelsalli,African Forest-Flycatcher (Western),afrfof1,issf,23403.0088,AFFL FFFL AFFF,FROC,,Passeriformes,Old World Flycatchers,Muscicapidae,afffly1,,
Fraseria ocreata ocreata,African Forest-Flycatcher (Eastern),afrfof2,issf,23403.0089,AFFL FFFL AFFF,FROC,,Passeriformes,Old World Flycatchers,Muscicapidae,afffly1,,
Fraseria griseigularis,Gray-throated Tit-Flycatcher,gyttif1,species,23403.009,GTTF,FRGR,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Fraseria plumbea,Gray Tit-Flycatcher,grytif1,species,23403.0093,GRTF LCFL GTFL,FRPL,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Fraseria olivascens,Olivaceous Flycatcher,olifly1,species,23403.0094,OLFL,FROL,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Fraseria olivascens olivascens,Olivaceous Flycatcher (Olivaceous),olifly4,issf,23403.0099,OLFL,FROL,,Passeriformes,Old World Flycatchers,Muscicapidae,olifly1,,
Fraseria olivascens nimbae,Olivaceous Flycatcher (Mt. Nimba),olifly5,issf,23403.01,OLFL,FROL,,Passeriformes,Old World Flycatchers,Muscicapidae,olifly1,,
Fraseria lendu,Chapin's Flycatcher,chafly1,species,23403.0101,CHFL,FRLE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Fraseria lendu lendu,Chapin's Flycatcher (Chapin's),chafly5,issf,23403.0102,CHFL,FRLE,,Passeriformes,Old World Flycatchers,Muscicapidae,chafly1,,
Fraseria lendu itombwensis,Chapin's Flycatcher (Itombwe),chafly4,issf,23403.0103,CHFL,FRLE,,Passeriformes,Old World Flycatchers,Muscicapidae,chafly1,,
Fraseria tessmanni,Tessmann's Flycatcher,tesfly1,species,23403.0104,TEFL,FRTE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Fraseria caerulescens,Ashy Flycatcher,ashfly1,species,23403.0105,ASFL,FRCA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis herero,Herero Chat,hercha1,species,23403.0116,HECH,MEHE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis semipartitus,Silverbird,silver1,species,23403.0117,SILV,MESE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis silens,Fiscal Flycatcher,fisfly1,species,23403.0118,FIFL,MESI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis ardesiacus,Yellow-eyed Black-Flycatcher,yebfly2,species,23403.0122,YEBF,MEAR,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis annamarulae,Nimba Flycatcher,nimfly1,species,23403.0123,NIFL,MEAN,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
