SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Dendrexetastes rufigula paraensis/moniliger,Cinnamon-throated Woodcreeper (paraensis/moniliger),citwoo4,Passeriformes
Nasica longirostris,Long-billed Woodcreeper,lobwoo1,Passeriformes
Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,nobwoo1,Passeriformes
Dendrocolaptes certhia,Amazonian Barred-Woodcreeper,amabaw1,Passeriformes
Dendrocolaptes certhia radiolatus,Amazonian Barred-Woodcreeper (Napo),amabaw2,Passeriformes
Dendrocolaptes certhia certhia,Amazonian Barred-Woodcreeper (Amazonian),amabaw3,Passeriformes
Dendrocolaptes certhia juruanus/polyzonus,Amazonian Barred-Woodcreeper (Jurua),amabaw4,Passeriformes
Dendrocolaptes certhia concolor,Amazonian Barred-Woodcreeper (Plain-colored),amabaw5,Passeriformes
Dendrocolaptes certhia ridgwayi,Amazonian Barred-Woodcreeper (Ridgway's),amabaw6,Passeriformes
Dendrocolaptes certhia retentus,Amazonian Barred-Woodcreeper (Xingu),xinwoo1,Passeriformes
Dendrocolaptes certhia medius,Amazonian Barred-Woodcreeper (Todd's),amabaw7,Passeriformes
Dendrocolaptes picumnus,Black-banded Woodcreeper,blbwoo1,Passeriformes
Dendrocolaptes picumnus [puncticollis Group],Black-banded Woodcreeper (Spot-throated),bkbwoo1,Passeriformes
Dendrocolaptes picumnus [picumnus Group],Black-banded Woodcreeper (Black-banded),bkbwoo2,Passeriformes
Dendrocolaptes picumnus pallescens/casaresi,Black-banded Woodcreeper (Pale-billed),bkbwoo3,Passeriformes
Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper,hofwoo2,Passeriformes
Dendrocolaptes platyrostris,Planalto Woodcreeper,plawoo1,Passeriformes
Dendrocolaptes sp.,Dendrocolaptes sp.,dendro4,Passeriformes
Hylexetastes stresemanni,Bar-bellied Woodcreeper,babwoo1,Passeriformes
Hylexetastes perrotii,Red-billed Woodcreeper,rebwoo1,Passeriformes
Hylexetastes perrotii perrotii,Red-billed Woodcreeper (Red-billed),rebwoo2,Passeriformes
Hylexetastes perrotii uniformis,Red-billed Woodcreeper (Uniform),rebwoo3,Passeriformes
Hylexetastes perrotii brigidai,Red-billed Woodcreeper (Brigida's),rebwoo4,Passeriformes
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,stbwoo1,Passeriformes
Xiphocolaptes promeropirhynchus [emigrans Group],Strong-billed Woodcreeper (Central American),stbwoo6,Passeriformes
Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Strong-billed Woodcreeper (Andean/Northern),stbwoo7,Passeriformes
Xiphocolaptes promeropirhynchus [orenocensis Group],Strong-billed Woodcreeper (Amazonian),stbwoo8,Passeriformes
Xiphocolaptes promeropirhynchus carajaensis,Strong-billed Woodcreeper (Carajas),stbwoo9,Passeriformes
Xiphocolaptes falcirostris,Moustached Woodcreeper,mouwoo1,Passeriformes
Xiphocolaptes albicollis,White-throated Woodcreeper,whtwoo1,Passeriformes
Xiphocolaptes major,Great Rufous Woodcreeper,grrwoo1,Passeriformes
Xiphorhynchus obsoletus,Striped Woodcreeper,strwoo2,Passeriformes
Xiphorhynchus fuscus,Lesser Woodcreeper,leswoo3,Passeriformes
Xiphorhynchus fuscus atlanticus,Lesser Woodcreeper (Northern),leswoo4,Passeriformes
Xiphorhynchus fuscus [fuscus Group],Lesser Woodcreeper (Lesser),leswoo2,Passeriformes
Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,chrwoo1,Passeriformes
Xiphorhynchus ocellatus,Ocellated Woodcreeper,ocewoo1,Passeriformes
Xiphorhynchus ocellatus [chunchotambo Group],Ocellated Woodcreeper (Tschudi's),ocewoo2,Passeriformes
Xiphorhynchus ocellatus beauperthuysii/lineatocapilla,Ocellated Woodcreeper (Line-crowned),ocewoo4,Passeriformes
Xiphorhynchus ocellatus ocellatus/perplexus,Ocellated Woodcreeper (Ocellated),ocewoo3,Passeriformes
Xiphorhynchus elegans,Elegant Woodcreeper,elewoo1,Passeriformes
Xiphorhynchus spixii,Spix's Woodcreeper,spiwoo1,Passeriformes
Xiphorhynchus susurrans,Cocoa Woodcreeper,cocwoo1,Passeriformes
Xiphorhynchus susurrans [nana Group],Cocoa Woodcreeper (Lawrence's),cocwoo2,Passeriformes
Xiphorhynchus susurrans [susurrans Group],Cocoa Woodcreeper (Cocoa),cocwoo3,Passeriformes
