COMMON_NAME,dl,COMMON_NAME_Original
Red phalarope,1,Red phalarope
Red-billed leiothrix,1,Red-billed leiothrix
Red-billed pigeon,1,Red-billed pigeon
Red-billed tropicbird,1,Red-billed tropicbird
Red-breasted nuthatch,1,Red-breasted nuthatch
Red-breasted sapsucker,1,Red-breasted sapsucker
Red-cockaded woodpecker,1,Red-cockaded woodpecker
Red-crested cardinal,1,Red-crested cardinal
Reddish egret,1,Reddish egret
Red-eyed vireo,1,Red-eyed vireo
Red-faced cormorant,1,Red-faced cormorant
Red-faced warbler,1,Red-faced warbler
Red-flanked bluetail,1,Red-flanked bluetail
Red-footed booby,1,Red-footed booby
Red-footed falcon,1,Red-footed falcon
Red-headed woodpecker,1,Red-headed woodpecker
Red-legged honeycreeper,1,Red-legged honeycreeper
Red-legged kittiwake,1,Red-legged kittiwake
Red-legged thrush,1,Red-legged thrush
Red-naped sapsucker,1,Red-naped sapsucker
Red-necked grebe,1,Red-necked grebe
Red-necked phalarope,1,Red-necked phalarope
Red-necked stint,1,Red-necked stint
Red-shouldered hawk,1,Red-shouldered hawk
Red-tailed hawk,1,Red-tailed hawk
Red-tailed tropicbird,1,Red-tailed tropicbird
Red-throated loon,1,Red-throated loon
Red-throated pipit,1,Red-throated pipit
Red-vented bulbul,1,Red-vented bulbul
Red-whiskered bulbul,1,Red-whiskered bulbul
Redwing,1,Redwing
Rhinoceros auklet,1,Rhinoceros auklet
Ring-billed gull,1,Ring-billed gull
Ringed kingfisher,1,Ringed kingfisher
Roadside hawk,1,Roadside hawk
Rock ptarmigan,1,Rock ptarmigan
Rock sandpiper,1,Rock sandpiper
Rock wren,1,Rock wren
Roseate spoonbill,1,Roseate spoonbill
Roseate tern,1,Roseate tern
Rose-breasted grosbeak,1,Rose-breasted grosbeak
Rose-ringed parakeet,1,Rose-ringed parakeet
Rose-throated becard,1,Rose-throated becard
Royal tern,1,Royal tern
Ruby-crowned kinglet,1,Ruby-crowned kinglet
Ruby-throated hummingbird,1,Ruby-throated hummingbird
Ruddy quail-dove,1,Ruddy quail-dove
Ruddy turnstone,1,Ruddy turnstone
Ruff,1,Ruff
Ruffed grouse,1,Ruffed grouse
Rufous hummingbird,1,Rufous hummingbird
Rufous-capped warbler,1,Rufous-capped warbler
Rufous-crowned sparrow,1,Rufous-crowned sparrow
Rufous-tailed robin,1,Rufous-tailed robin
Rufous-winged sparrow,1,Rufous-winged sparrow
Rustic bunting,1,Rustic bunting
Rusty blackbird,1,Rusty blackbird
Saffron finch,1,Saffron finch
Sage thrasher,1,Sage thrasher
Sagebrush sparrow,1,Sagebrush sparrow
Saltmarsh sparrow,1,Saltmarsh sparrow
Sandhill crane,1,Sandhill crane
Sandwich tern,1,Sandwich tern
Savannah sparrow,1,Savannah sparrow
Scaly-breasted munia,1,Scaly-breasted munia
