Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Image_URL,Link_URL,us
Larus belcheri,Belchers gull,Belcher's gull,belgul,Charadriiformes,no audio,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Band-Tailed_Gull.jpg/220px-Band-Tailed_Gull.jpg,https://en.wikipedia.org/wiki/Belcher%27s_gull,1
Artemisiospiza belli,Bells sparrow,Bell's sparrow,belspa2,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523034.mp3,s3.amazonaws.com/com-aab-media/photo/75236501-1280px.jpg,https://www.allaboutbirds.org/guide/Bells_sparrow,1
Vireo bellii,Bells vireo,Bell's vireo,belvir,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522614.mp3,s3.amazonaws.com/com-aab-media/photo/75226481-1280px.jpg,https://www.allaboutbirds.org/guide/Bells_vireo,1
Megaceryle alcyon,Belted kingfisher,Belted kingfisher,belkin1,Coraciiformes,https://s3.amazonaws.com/com-aab-media/sound/522433.mp3,s3.amazonaws.com/com-aab-media/photo/75262241-1280px.jpg,https://www.allaboutbirds.org/guide/Belted_kingfisher,1
Toxostoma bendirei,Bendires thrasher,Bendire's thrasher,benthr,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522816.mp3,s3.amazonaws.com/com-aab-media/photo/75262331-1280px.jpg,https://www.allaboutbirds.org/guide/Bendires_thrasher,1
Pterodroma cahow,Bermuda petrel,Bermuda petrel,berpet,Procellariiformes,no audio,no image,https://www.hbw.com/species/bermuda-petrel-pterodroma-cahow#Taxonomy,1
Amazilia beryllina,Berylline hummingbird,Berylline hummingbird,berhum,Caprimulgiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Berylline_Hummingbird_Saucerottia_beryllina.jpg?itok=Qg0rNMfX,https://www.hbw.com/species/berylline-hummingbird-amazilia-beryllina#Taxonomy,1
Thryomanes bewickii,Bewicks wren,Bewick's wren,bewwre,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522750.mp3,s3.amazonaws.com/com-aab-media/photo/75229151-1280px.jpg,https://www.allaboutbirds.org/guide/Bewicks_wren,1
Catharus bicknelli,Bicknells thrush,Bicknell's thrush,bicthr,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522794.mp3,s3.amazonaws.com/com-aab-media/photo/75227041-1280px.jpg,https://www.allaboutbirds.org/guide/Bicknells_thrush,1
Moho bishopi,Bishops oo,Bishop's oo,bisoo,Passeriformes,no audio,no image,https://www.hbw.com/species/bishops-oo-moho-bishopi#Descriptive_notes,1
